Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
PostScript,application/postscript,.ai,Wikipedia: PostScript,https://en.wikipedia.org/wiki/PostScript
CU-Writer,application/prs.cww,.cww,,https://www.freeformatter.com/mime-types-list.html
Portable Symmetric Key Container,application/pskc+xml,.pskcxml,RFC 6030,http://tools.ietf.org/html/rfc6030
Resource Description Framework,application/rdf+xml,.rdf,RFC 3870,http://www.ietf.org/rfc/rfc3870.txt
IMS Networks,application/reginfo+xml,.rif,,https://www.freeformatter.com/mime-types-list.html
Relax NG Compact Syntax,application/relax-ng-compact-syntax,.rnc,Relax NG,http://relaxng.org/
XML Resource Lists,application/resource-lists+xml,.rl,RFC 4826,http://www.rfc-editor.org/rfc/rfc4826.txt
XML Resource Lists Diff,application/resource-lists-diff+xml,.rld,RFC 4826,http://www.rfc-editor.org/rfc/rfc4826.txt
XML Resource Lists,application/rls-services+xml,.rs,RFC 4826,http://www.rfc-editor.org/rfc/rfc4826.txt
Really Simple Discovery,application/rsd+xml,.rsd,Wikipedia: Really Simple Discovery,https://en.wikipedia.org/wiki/Really_Simple_Discovery
RSS - Really Simple Syndication,application/rss+xml,".rss, .xml",Wikipedia: RSS,https://en.wikipedia.org/wiki/RSS
Rich Text Format,application/rtf,.rtf,Wikipedia: Rich Text Format,https://en.wikipedia.org/wiki/Rich_Text_Format
Systems Biology Markup Language,application/sbml+xml,.sbml,RFC 3823,http://www.rfc-editor.org/rfc/rfc3823.txt
Server-Based Certificate Validation Protocol - Validation Request,application/scvp-cv-request,.scq,RFC 5055,http://www.rfc-editor.org/rfc/rfc5055.txt
Server-Based Certificate Validation Protocol - Validation Response,application/scvp-cv-response,.scs,RFC 5055,http://www.rfc-editor.org/rfc/rfc5055.txt
Server-Based Certificate Validation Protocol - Validation Policies - Request,application/scvp-vp-request,.spq,RFC 5055,http://www.rfc-editor.org/rfc/rfc5055.txt
Server-Based Certificate Validation Protocol - Validation Policies - Response,application/scvp-vp-response,.spp,RFC 5055,http://www.rfc-editor.org/rfc/rfc5055.txt
Session Description Protocol,application/sdp,.sdp,RFC 2327,http://www.ietf.org/rfc/rfc2327.txt
Secure Electronic Transaction - Payment,application/set-payment-initiation,.setpay,IANA: SET Payment,http://www.iana.org/assignments/media-types/application/set-payment-initiation
Secure Electronic Transaction - Registration,application/set-registration-initiation,.setreg,IANA: SET Registration,http://www.iana.org/assignments/media-types/application/set-registration-initiation
S Hexdump Format,application/shf+xml,.shf,RFC 4194,http://www.rfc-editor.org/rfc/rfc4194.txt
Synchronized Multimedia Integration Language,application/smil+xml,.smi,RFC 4536,http://tools.ietf.org/html/rfc4536
SPARQL - Query,application/sparql-query,.rq,W3C SPARQL,http://www.w3.org/TR/2006/CR-rdf-sparql-XMLres-20060406/
SPARQL - Results,application/sparql-results+xml,.srx,W3C SPARQL,http://www.w3.org/TR/2006/CR-rdf-sparql-XMLres-20060406/
Speech Recognition Grammar Specification,application/srgs,.gram,W3C Speech Grammar,http://www.w3.org/TR/speech-grammar/
Speech Recognition Grammar Specification - XML,application/srgs+xml,.grxml,W3C Speech Grammar,http://www.w3.org/TR/speech-grammar/
Search/Retrieve via URL Response Format,application/sru+xml,.sru,RFC 6207,http://tools.ietf.org/html/rfc6207
Speech Synthesis Markup Language,application/ssml+xml,.ssml,W3C Speech Synthesis,http://www.w3.org/TR/speech-synthesis/
Text Encoding and Interchange,application/tei+xml,.tei,RFC 6129,http://tools.ietf.org/html/rfc6129
Sharing Transaction Fraud Data,application/thraud+xml,.tfi,RFC 5941,http://tools.ietf.org/html/rfc5941
Time Stamped Data Envelope,application/timestamped-data,.tsd,RFC 5955,http://tools.ietf.org/html/rfc5955
3rd Generation Partnership Project - Pic Large,application/vnd.3gpp.pic-bw-large,.plb,3GPP,http://www.3gpp.org/specifications
3rd Generation Partnership Project - Pic Small,application/vnd.3gpp.pic-bw-small,.psb,3GPP,http://www.3gpp.org/specifications
3rd Generation Partnership Project - Pic Var,application/vnd.3gpp.pic-bw-var,.pvb,3GPP,http://www.3gpp.org/specifications
3rd Generation Partnership Project - Transaction Capabilities Application Part,application/vnd.3gpp2.tcap,.tcap,3GPP,http://www.3gpp.org/specifications
3M Post It Notes,application/vnd.3m.post-it-notes,.pwn,IANA: 3M Post It Notes,http://www.iana.org/assignments/media-types/application/vnd.3M.Post-it-Notes
Simply Accounting,application/vnd.accpac.simply.aso,.aso,IANA: Simply Accounting,http://www.iana.org/assignments/media-types/application/vnd.accpac.simply.aso
